Device_name,MAC_Address,Interface,Location,Check time
CNSUZ-SWP06,70b5.e849.9893,Gi3/0/26,FB_2-6,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e849.99e0,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e849.99fd,Gi4/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e849.9a3a,Gi3/0/28,FB_2-7,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.0b3d,Gi4/0/27,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.0bd2,Gi3/0/35,FB_3-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.0bdf,Gi3/0/26,FB_2-6,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.0c75,Gi3/0/26,FB_2-6,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.0e16,Gi4/0/27,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.5946,Gi4/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.7d9c,Gi3/0/31,FB_3-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.7e5d,Gi3/0/42,FB_3-7,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.7ee4,Gi4/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.7efd,Gi3/0/42,FB_3-7,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.7faf,Gi3/0/45,FB_4-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84a.7fb4,Gi4/0/2,FB_4-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e851.298d,Gi3/0/31,FB_3-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e851.299a,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.b504,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.e3d5,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.e5e2,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.e93f,Gi3/0/26,FB_2-6,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.e94f,Gi3/0/35,FB_3-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.e97f,Gi3/0/35,FB_3-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e855.f955,Gi4/0/22,FB_5-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.9c26,Gi3/0/15,FB_2-1,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.9f8e,Gi3/0/48,FB_4-3,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.9f9c,Gi3/0/26,FB_2-6,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.d869,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e333,Gi4/0/22,FB_5-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e394,Gi4/0/27,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e442,Gi3/0/28,FB_2-7,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e540,Gi3/0/42,FB_3-7,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e5ab,Gi3/0/46,FB_4-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e63c,Gi3/0/28,FB_2-7,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e66f,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e68e,Gi3/0/46,FB_4-2,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e691,Gi3/0/26,FB_2-6,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e771,Gi3/0/42,FB_3-7,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e86c.e286,Gi3/0/15,FB_2-1,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e86f.bd37,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,8cec.4b7a.efae,Gi4/0/22,FB_5-2,2025-09-16 13:58:32
CNSUZ-SWP06,a00f.372c.e444,Gi3/0/26,FB_2-6,2025-09-16 13:58:32
CNSUZ-SWP06,a453.0ecc.ef81,Gi4/0/27,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,a488.73a2.d027,Gi4/0/6,FB_4-6,2025-09-16 13:58:32
CNSUZ-SWP06,b07b.2501.0582,Gi3/0/26,FB_2-6,2025-09-16 13:58:32
CNSUZ-SWP06,c400.ad53.8edb,Gi3/0/16,FB_2-1,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2ac5,Gi3/0/41,FB_3-7,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8af.83e5,Gi3/0/45,FB_4-2,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8d3.3249,Gi3/0/45,FB_4-2,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8d3.ac7a,Gi3/0/20,FB_2-3,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8d3.ac93,Gi4/0/1,FB_4-4,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8d3.af16,Gi4/0/2,FB_4-4,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8d4.c9bd,Gi3/0/45,FB_4-2,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8e1.1a1e,Gi3/0/28,FB_2-7,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8e1.4682,Gi3/0/20,FB_2-3,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8e1.68ab,Gi3/0/16,FB_2-1,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8e1.6913,Gi3/0/31,FB_3-2,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8e3.53b7,Gi4/0/1,FB_4-4,2025-09-16 13:58:32
CNSUZ-SWP06,e454.e8e3.5549,Gi3/0/22,FB_2-4,2025-09-16 13:58:32
CNSUZ-SWP06,0c2f.b0f1.8cfc,Gi1/0/28,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,488b.0a7e.d2f8,Gi3/0/30,FB_3-1,2025-09-16 13:58:32
CNSUZ-SWP06,48fd.a31b.214d,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,50eb.7136.3ea9,Gi1/0/28,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,5c40.7165.9116,Gi1/0/28,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e84c.1cdf,Gi3/0/30,FB_3-1,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c049.52ad,Gi1/0/10,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c0a5.46af,Gi1/0/9,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,805e.c0b8.d571,Gi1/0/7,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,841b.77f3.ec01,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,a6da.742a.3650,Gi1/0/28,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,b07b.2517.c2da,Gi3/0/30,FB_3-1,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.e037,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.ec31,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.f1f9,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d484.09c3.929a,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0017.6112.0e8e,Gi4/0/48,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,2481.3bb3.0ebe,Gi2/0/7,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d401.55b0,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d480.53e3,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d480.5436,Gi2/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d480.547c,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2cc8,Gi2/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d00,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d03,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d06,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d0a,Gi2/0/7,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d0c,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.2d0e,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.31b0,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.31f2,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.31f6,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.3206,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d483.3221,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d486.fd74,Gi2/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,58b0.d486.fd77,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.9f8f,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.b623,Gi2/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.b657,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.b796,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8d.77ce.ba53,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e836.5a72,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.9f65,Gi2/0/7,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e857.e5b4,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e858.bfbf,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,70b5.e86f.c044,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,7c31.0eda.b520,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,b07b.2510.9b89,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2c44,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2c6f,Gi2/0/14,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2cd9,Gi2/0/21,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c83.2eaa,Gi2/0/17,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c86.d7ac,Gi2/0/11,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,d046.0c8f.2575,Gi2/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,f430.b925.1183,Gi1/0/6,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0c23.6978.9a8b,Gi1/0/29,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0c23.6978.c311,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0c23.6978.c315,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,4c5f.70dc.c03f,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,bc09.1bfe.95ed,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,e8c8.2913.cbe4,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,f057.a600.ba9a,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c24.088b.4e15,Gi1/0/23,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0010.20e2.21ae,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0010.20e3.0cae,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0010.20e5.34f0,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,0c23.6953.95fa,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,48fd.a316.fd49,Gi1/0/29,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,48fd.a31b.213d,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,48fd.a31b.27ec,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da17.d23d,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.e12f,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.e187,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,c4ef.da18.eb8f,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c41.0eca.1eb8,Gi1/0/30,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c41.0eca.1f0c,Gi1/0/25,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,6c8b.d351.cf60,Gi1/0/28,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,707d.b9f3.1cc0,Gi1/0/26,Unknown,2025-09-16 13:58:32
CNSUZ-SWP06,7488.bbff.dd64,Gi1/0/29,Unknown,2025-09-16 13:58:32
